precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
18,Carolyn Parsons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Michael Watson,Abstain,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Melanie Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Deborah Butler,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Abstain,No
19,Dganit Cohen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
19,Neva Corbo-Hudek,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Elaine Crowder,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
19,Christine Deshler,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
19,Michelle Durocher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Claire Johnson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Flynn Monks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
19,James O'Conor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
19,Jonathan Rabinowitz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Edward Trembly,Yes,No,Yes,Yes,No,Yes,Yes,No,No
20,Dean Carman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
20,Curtis Connors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Samantha Dutra,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
20,Peter Fuller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
20,Maureen Gormley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
20,Camilla Haase,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Leonard Kardon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,No
20,Michaela May,,,,,,,,,
20,Patricia Muldoon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Kristin Pennarun,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Katharine Radville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
21,Beth Benedikt,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
