Precinct,Name,n/a,n/a,D4225B2A-4451-41C8-8F51-1FC6E6CF754D,n/a,222072C0-5577-4FCF-A436-42FBD22B8480,A2594459-C799-4660-8A04-D074587BE1B6,44E061A4-CEA7-4860-BC83-0FE44334EC3A,n/a,
19,Flynn Monks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
19,James O'Conor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Jonathan Rabinowitz,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
19,Edward Trembly,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
20,Michaela May,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Dean Carman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
20,Curtis Connors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Samantha Dutra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
20,Peter Fuller,Yes,Yes,Yes,Abstain,No,Yes,Yes,Abstain,Yes
20,Maureen Gormley,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
20,Camilla Haase,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Leonard Kardon,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
20,Patricia Muldoon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Kristin Pennarun,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Katharine Radville,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Beth Benedikt,Yes,Yes,Yes,Yes Verbally,Yes,Yes,Yes,Yes,Yes
21,Susan Doctrow,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
21,Daniel Dunn,Yes,Yes,Yes,Abstain,No,Yes,Yes,Yes,No
21,Anne Ehlert,Yes,Yes,Yes,Yes,No,Yes,Yes,,No
21,Pamela Hallett,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
21,Lori Leahy,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
21,Leslie Mayer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
21,Zarina Memon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Christopher Rowell,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
21,Janice Weber,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
21,Jordan Weinstein,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
21,David White,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
